Manuscript Identifier	COI	Funding
PONE-D-15-20554	The authors have declared that no competing interests exist.	This work was supported by grants from the Ministry of Science and Technology of Taiwan (MOST 103-2311-B-006-002 and MOST 104-2311-B-006-007-MY2).
PONE-D-15-20560	The authors have declared that no competing interests exist.	"This work was funded by National Natural Science Foundation of China (No.81173582), National Science & Technology Major Project of China (Nos.2012ZX09103201-049), and National Science & Technology Major Project of China (2012zx09301002-004-002)."
PONE-D-15-20574	The authors have declared that no competing interests exist.  	"This work was supported by the Belgian grant FNRS-Télévie 7.4621.14 and ‘Le Fonds Emile DEFAY’; FH is a research fellow supported by the Belgian ‘Fonds pour la Formation à la Recherche dans l’Industrie et dans l’Agriculture’ (FRIA)18101/18102; and ID is a research associate at the ‘Fonds National pour la Recherche Scientifique’ (FNRS). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20591	The authors have declared that no competing interests exist.	"This work was supported by the National Science Council, Taiwan (NSC103-2313-B-002-048-MY2). This work was also supported by Academia Sinica with grants from the National Science Council of Taiwan (NSC102-2319-B-001-003). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20614	The authors have declared that no competing interests exist.	"This work was supported by the Russian Scientific Foundation (#14-25-00129) to KL, and the Russian Foundation for Basic Research (#14-02-00860) to VK. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20628	The authors have declared that no competing interests exist.	"This material is based upon work supported, in part, by the Department of Veterans Affairs, Veterans Health Administration, Office of Research and Development, Biomedical Laboratory Research and Development (BX002477-01, AZ), and by the National Institutes of Health (NIH) National Institute of Neurological Disorders and Stroke Grant NS073670 (AZ), and the Reproductive Scientist Development Program HD000849, RR024980 (MS) and CSTA U54TR001013. The Maternal Fetal Tissue Bank at the University of Iowa is supported by the University of Iowa Carver College of Medicine and Department of Obstetrics & Gynecology."
PONE-D-15-20637	The authors have declared that no competing interests exist. 	"This work was supported by National Institutes of Health grants R01-GM099962 and U24-AG041689 to LSW, K08-AG039510 to EBL, and P01-AG017586 to VML. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20638	The authors have declared that no competing interests exist.	"This work was supported by grants from The Canadian Institutes of Health Research to JG (MOP-115078 and MOP-123440). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20645	The authors have declared that no competing interests exist.	"Funding was provided by the Universidade Federal de Ouro Preto (UFOP), Fundação de Amparo a Pesquisa do Estado de Minas Gerais (FAPEMIG), Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq), Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) and research fellowships from CNPq (Carneiro CM, Reis AB, Lana M, Oliveri LMR), CAPES (Fonseca KS, Nogueira-Paiva NC) and FAPEMIG (Pound-Lana G, Oliveira MT). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20657	"B.F.C. is a founder and advisor to Abide Therapeutics, a biotechnology company interested in developing serine hydrolase inhibitors and therapeutics. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This work was supported by the NIH grants DA032933 (B.F.C.), CA172667 (D.K.N.), GM109315 (A.V.), and NS085155 (B.C.)."
PONE-D-15-20658	The authors have declared that no competing interests exist.	"This work was funded by the Virginia Tech Fralin Life Science Institute and the National Science Foundation (DEB-1136640 and CHE-0958973). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20668	The authors have declared that no competing interests exist.	"This work was supported by the National Institutes of Health (http://www.nih.gov/) Grant R01DK063250, awarded to RAW. The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20686	The authors have declared that no competing interests exist.	"This study was supported by grants from National Science & Technology Pillar Program during the Twelve Five-year Plan Period (2012BAI35B02, 2012BAI35B03), 973 Program (2011CB512006) of China, the National Natural Science Foundation of China (No. 81370494, 31070799), Science and Technology Department key research projects of Henan province (102102310400), Science and technology innovation and outstanding talents funds of Henan province (134200510022), the National High Technology Research and Development Program of China 863 Program (2014AA022200), and the Research Fund for the Doctoral Program of Higher Education, China (RFDP, 20132105120012)."
PONE-D-15-20694	The authors have declared that no competing interests exist.	"This work was supported by Fundação de Amparo à Pesquisa do Estado de São Paulo - FAPESP (http://www.fapesp.br/en/), grant number: 2009/53546-5 to IM; Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPq (http://www.cnpq.br), grant number 485478/2011-0) to IM."
PONE-D-15-20737	The authors have declared that no competing interests exist.	"This work was supported by the grants from the National Science Council Taiwan (NSC-101-2325-B-077-001, NSC102-2325-B-077-001, and NSC103 2320-B-077-001) and Ministry of Science and Technology Taiwan (MOST 103-2320-B-077-003-MY3)."
PONE-D-15-20749	The authors have declared that no competing interests exist.	"This work was supported by the Deutsche Studienstiftung to LA, Niedersachsen-Research Network on Neuroinfectiology (N-RENNT) of the Ministry of Science and Culture of Lower Saxony and Deutsche Forschungsgemeinschaft SFB-TRR43 TP B11 to FL, and Georg-August-University Göttingen Foundation to GT. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20754	The authors have declared that no competing interests exist.	"This work was supported by a research grant (2140-12005-0130 to RK & LC) from the Australian Institute of Tropical Health and Medicine, and James Cook University. The funding agencies had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20756	P. Lo Giudice and A. De Rosa are employees of Sigma-Tau SpA. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"P. Lo Giudice and A. De Rosa are employees of Sigma-Tau SpA. Sigma-Tau SpA provided support in the form of salaries for P. Lo Giudice and A. De Rosa, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-20767	The authors have declared that no competing interests exist.	"This project was initiated in the State Key Laboratory of Medicinal Chemical Biology at Nankai University. X.Z., D.Y.C., and X.Z.F. were supported by the Special Fund for Basic Research on Scientific Instruments of the Chinese National Natural Science Foundation (grant no: 61327802). The work performed in the laboratory of X.Z.F. was supported by the National Basic Research Program (973 program) of China “The fundamental and frontier studies of the new topology of molecular functional carbon materials� (2015CB856500). The work performed by the group of D.Y.C. was supported by the Tianjin Science Technology Research Funds of China (grant no: 10JCYBJC25300) and the fund from the State Key Laboratory of Medicinal Chemical Biology (grant no: 20130301)."
PONE-D-15-20773	"Part of the work of CNJM was funded by Sanofi-Aventis. However, this does not alter the authors’ adherence to PLOS ONE policies on sharing data and materials."	"This research was supported by grants from the Centre National pour la Recherche Scientifique (CNRS), SANOFI-AVENTIS and Agence Nationale de la Recherche (ANR). CNJM received a studentship from CNRS and SANOFI-AVENTIS RD Exploratory Unit. JPM and GD were supported by Agence Nationale pour la Recherche (Grant number ANR-09-MNPS-022-01), CNRS, Université Aix-Marseille and Fondation pour la Recherche Médicale (to J-P.M.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20783	"EJS, HW, and JJ are employed at SAB Biotherapeutics, Inc.  DH and BE are employed at Ichor Medical Systems, Inc. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials."	"This research was supported by contract HDTRA1-14-1-0054 to SAB Biotherapeutics, Inc., from the Defense Threat Reduction Agency (DTRA). This research was performed under Cooperative Research and Development Agreement (CRADA) W81XWH-14-0315 between USAMRIID and SAB Biotherapeutics, Inc. The funders had no had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20789	The authors have declared that no competing interests exist.	"This study was funded by the Academy of Finland (http://www.aka.fi/en-GB/A/) to RH, Sigrid Jusélius Foundation (http://www.sigridjuselius.fi/foundation) to OS and RH, The Swedish Foundation for Strategic Research (http://www.stratresearch.se/en/) to RH, The National Doctoral Programme in Informational and Structural Biology (http://web.abo.fi/isb/) to CH, Turku University Foundation (https://www.utu.fi/fi/yksikot/yliopistosaatio/en/Sivut/home.aspx) to OS and CH, Knut and Alice Wallenberg foundation (https://www.wallenberg.com/kaw/en) to RH, King Gustav V 80-years foundation (http://www.kungahuset.se/monarkinhovstaterna/kungligastiftelser/forskning/konunggustafvs80arsfond/english.4.67e94750148caf4ad27d21.html) to RH, The EU Innovative Medicine initiative BeTheCure grant (http://www.imi.europa.eu/content/btcure) to RH, The Swedish Research Council (http://www.vr.se) to RH, The European Union's Seventh Framework Programme (FP7) under grant agreements Neurinox (Health-F2-2011-278611; http://www.neurinox.eu/) to RH, Finnish Cultural Foundation, Varsinais-Suomi Regional fund (http://skr.fi/en) to CH. The funding sources were not involved in study design, interpretation of the data nor in the submission process."
PONE-D-15-20790	The authors have declared that no competing interests exist.	"This research was supported by a grant of the Korea Health Technology R&D Project, through the Korea Health Industry Development Institute (KHIDI), which is funded by the Ministry of Health & Welfare, Republic of Korea (HI14C3418)."
PONE-D-15-20799	The authors have declared that no competing interests exist.	"This work was supported by grants from the Karen Wyckoff Rein in Sarcoma Foundation (XZ), National Institutes of Health AI092220 (XZ) and Pediatric Cancer Research Foundation (MSC). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20839	The authors have declared that no competing interests exist. 	"This work was supported by grants from Brazilian research funding agencies: Fundação de Amparo a Pesquisa de Minas Gerais (FAPEMIG- APQ 00981-11), Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq), and Coordenação de Aperfeiçoamento de Pessoal de Ensino Superior (CAPES)."
PONE-D-15-20867	The authors have declared that no competing interests exist.	"This work is supported by National Institutes of Health grant R01-DK-090505 (to MPR) and the Penn Diabetes Research Center Mouse Phenotyping Core grant P30-DK-19525. RS is supported by K23-DK095913. MPR is also supported by R01-HL-111694, R01-HL-108636, R01-HL-107643 and R01-HL-113147. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20876	The authors have declared that no competing interest exist.	"This work was funded by the National Institutes of Health (http://www.nih.gov) grants AI097419 and AI07660901 given to DAP. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20883	"We have the following interests. This study was partly funded by NKT Therapeutics Inc., the employer of Felix Scheuplein, Robert Mashal and Robert Schaub. There are no patents, products in development or marketed products to declare. This does not alter our adherence to all the PLOS ONE policies on sharing data and materials, as detailed online in the guide for authors."	"The study was funded by NKT Therapeutics Inc., NIH/NIAID grant 1R21AI112804-01, P30 RR 031158 and the University of Vermont College of Medicine internal grant program. NKT Therapeutics Inc provided support in the form of salaries for authors Felix Scheuplein, Robert Mashal and Robert Schaub but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions section."
PONE-D-15-20887	The authors have declared that no competing interests exist.	This work is partly supported by a National Institute of Health grant R01 AA11591 and a Hatch project grant NJ06160.
PONE-D-15-20890	The authors have declared that no competing interests exist.	"The authors thank Conselho nacional de Pesquisa e Desenvolvimento (CNPq), Instituto Nacional de Ciência e Tecnologia Animal (INCT-CA), Fundação de Amparo à Pesquisa do Estado de Minas Gerais (FAPEMIG), and FUNARBE for the financial support through Grant# 456309/2014-4: Conselho Nacional de Pesquisa e Desenvolvimento; Receiver: MD. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-20894	The authors have declared that no competing interests exist.	"Funding was provided by the National Science Foundation Ecology of Infectious Disease grant #EF-0723563 (awarded to CJB, http://www.nsf.gov/), the Robert and Patricia Switzer Foundation (fellowship awarded to AJA, http://www.switzernetwork.org/), and Vandenberg Air Force Base (awarded to JPL, http://www.vandenberg.af.mil/).  None of the funders played any role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21009	The authors have declared that no competing interests exist.	This work was supported by the grant PRA 2013 from Università degli Studi di Genova to MA.
PONE-D-15-21033	The authors have declared that no competing interests exist.	"This work was funded in part by an award granted to COO from the Recruitment, Admissions, and Scholarship Committee, School of Aquatic and Fishery Sciences, University of Washington. All other project funding was provided by the U.S. Geological Survey. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. There was no additional external funding received for this study."
PONE-D-15-21042	The authors have declared that no competing interests exist.	"VS was supported by the Skeletal, Craniofacial, and Oral Biology Training Grant 5T90DE021989-02. Study was supported by United States National Institutes of Health grant AR060867 (HD) and AR055601 (AS). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21061	The authors have declared that no competing interests exist.	"This work was supported by a grant from the National Institutes of Health, National Center for Complementary and Alternative Medicine (R01 AT007052, PI: C.L.Q. and Co-I: A.R.H.). The content is solely the responsibility of the authors and does not necessarily reflect the official views of NCCAM or NIH. C.P.P. and H.A.C. were supported by NIH T32 training grant AI007511. The funding agency had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21065	The authors have declared that no competing interests exist.	This work was supported by a Grant-in-Aid for Young Scientists (B) from the Japan Society for the Promotion of Science (JSPS) (26830028) to Y.F. and a Grant-in-Aid for Scientific Research (S) from the JSPS (25221309) to T.Y.
PONE-D-15-21094	The authors have declared that no completing interests exist.	"This research was supported in part by the Geriatric Research Education and Clinical Center of the South Texas Veterans Healthcare System, and funding from the American Federation for Aging Research, the San Antonio Area Foundation, and VISN17 of the Veteran’s Affairs Office of Research and Development. The funders had no role in study design, data collection and analysis, decision to publish or preparation of the manuscript."
PONE-D-15-21108	The authors have declared that no competing interests exist.	"This work at Universidade Federal de Goiás was funded by grants from the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) and Fundação de Amparo à Pesquisa de Goiás (FAPEG). LCB is a post-doctoral fellow from Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES/PNPD). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21123	The authors have declared that no competing interests exist.	"This work was supported by the Russian Science Foundation, RSF grant № 14-25-00132,  (http://www.rscf.ru/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21127	The authors have declared that no competing interests exist.	"This work was funded by Inserm, CNRS, Clermont Université, Ministère de l’Enseignement Supérieur et de la Recherche (to MB), Ligue contre le Cancer (Comité Puy de Dôme to DHV), Nouveau Chercheur Auvergne (to SB and #R12087CC to DHV), and ANR Jeune Chercheur (#1103 to DHV). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21136	"The work was funded by grant in aid by Novartis. Ralf Dechend is employed and affiliated with the Charité and the HELIOS Clinic. There are no financial or non-financial, professional, or personal competing interests and assure financial disclosure for the entire manuscript. The affiliation to HELIOS has no influence on employment, consultancy, patents, products in development, or marketed products for this manuscript. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. This does not alter the authors' adherence to all PLOS ONE policies on sharing data and materials, as detailed online in PLOS ONE guide for authors. "	"The work was funded by grant in aid by Novartis. The Deutsche Forschungsgemeinschaft (DFG) supported R. Dechend (DE631/9-1), F. Herse (HE6249/1-2), and D.N. Müller. http://www.dfg.de/. The German Centre for Cardiovascular Research (DZHK) supported D.N. Müller. http://dzhk.de/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21138	The authors have declared that no competing interests exist.	"This work was supported by a research grant fron the Chinese Natural Science Foundation (#21120102038, #21221064)."
PONE-D-15-21162	The authors have declared that no competing interests exist.	This work was supported by the Ministero della Salute (IT) 3H/16.
PONE-D-15-21172	The authors have declared that no competing interests exist.	"This work was supported by NIH Radiation and Nuclear Countermeasures Award 64248-DO-0045-AFRRI-NIAID. All microarray experiments were performed in the Genomics Core of the Children’s National Medical Center which is supported in part by Core Molecular and Functional Outcome Measures in Rehabilitation Medicine Grant 5R24 HDO50846-09 NCMRR-DC. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21184	The authors have declared that no competing interests exist.	"NL received the funding “Program for Changjiang Scholars and Innovative Research Team in University (IRT-0959-202)� supported by Ministry of Education of the People’s Republic of China (http://www.moe.gov.cn/) for the study design, data collection and analysis, decision to publish. NL received the funding “Project of Special Funds for Harbin Technological Innovation Talent (2011RFXXN042)� supported by Science & Technology Bureau of Harbin (http://www.hrbinfo.gov.cn/) for data collection and analysis. YJT received the funding “Postgraduate Innovative Research Projects of Heilongjiang Province Office of Education (YJSCX2012-043HLJ)� supported by the Education Department of Heilongjiang Province (http://www.hlje.net/) for preparation of the manuscript."
PONE-D-15-21187	The authors have declared that no competing interests exist.	"Funding was provided by NIH R01 NS34509 (M.M.), NIH RO1 GM098578 (G.A.M.) and the Department of Anesthesiology (G.A.M.). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21194	The authors have declared that no competing interests exist.	"This work was supported by grants from the NIH to DSP (RO1 GM42901) and BC (R01 A1083305). The funder had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21220	The authors have declared that no competing interests exist.	"This work was supported by Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP grants 2008/57560-0, 2010/11514-7, J.B.L.F.; 2013/04331-1, J.M.L.F.) and Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq). D.A.D. and A.P. received a scholarship from FAPESP, and M.A.M.R from CNPq. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21225	The authors have declared that no competing interests exist.	"This study was supported by the Ministerio de Economía y Competitividad, Grants Reference numbers: BFU2012-38144 (to MPV) and BFU2011–27492 (to JAC), Fondo de Investigación Sanitaria Reference number PI13/02195 co-funded by European FEDER Program (to JAC), GRUPOS UCM Universidad Complutense de Madrid (UCM)- Banco de Santander (BSCH) GRUPO UCM Reference number 951579, (to MPV) and Redes Temáticas de Investigación Cooperativa en Salud, Red de Trastornos Adictivos (RTA) Reference number: RD2012/0028/0021 (MPV) and Centro de Investigación Biomédica en Red Fisiopatología de Obesidad y Nutrición (JAC). Neither of these institutions had any role in the in study design; in the collection, analysis, interpretation of data, writing of the report or in the decision to submit the article for publication."
PONE-D-15-21228	The authors have declared that no competing interests exist.	"This research was funded by the Canadian Institutes of Health Research (http://www.cihr-irsc.gc.ca) through grant number MOP-102670 to MVR. IM(1) was the recipient of a postdoctoral fellowship from the Canadian Institutes of Health Research. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21233	The authors have declared that no competing interests exist.	"Polish National Science Center project N N401 612440: DR MS EC RC M. Kowal WW AC and Polish Ministry of Science and Higher Education project N401 101 32/2138 DR MS BJ. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21236	The authors have declared that no competing interests exist.	"Funding for the project was provided by the Department of Surgery, UMCG, Groningen. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21246	The authors have declared that no competing interests exist.	"This work was supported by preliminary research project of Huazhong agricultural university (52209-814112). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-21269	The authors have declared that no competing interests exist.	The authors have no support or funding to report.
PONE-D-15-21275	"K-Stem Co., Ltd. provided support in the form of experimental cell sources. There are no patents, products in development, or marketed products to declare. This does not alter the authors' adherence to all the PLOS ONE policies on sharing data and materials."	"This work was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT and future Planning (2012R1A1A2006712 and 2015R1A2A2A01006528), and an Inha Research Grant. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21295	The authors have declared that no competing interests exist.	"This project was supported by the State 863 High-Technology R & D Project of China (No. 2012AA10A412), the Program for Liaoning Excellent Talents in University, China (No. LR2014022), the Dalian City Oceanic and Fishery Administration, China (No. 2013092), and Dalian Fisheries Association of Industrial Technology Innovation, China (No. 201400486)."
PONE-D-15-21334	The author has declared that no competing interests exist.	"This work was supported by the National Institute of Mental Health BSC, NIMH.gov, MH01992."
PONE-D-15-21369	The authors have declared that no competing interests exist.	"This research was partially funded by the Nutrigenomics and Functional Foods Research Center at The Robert H. Smith Faculty of Agriculture, Food and Environment, The Hebrew University of Jerusalem. "
PONE-D-15-21378	The authors have declared that no competing interests exist.	"This study was supported by grants from Basic Science Research Program (#NRF-2015R1A2A2A01004202 to W-KK) and Basic Science Research Program (#NRF-2014R1A1A1037088 to CJ) through the National Research Foundation of Korea (NRF) funded by the Ministry of Science, ICT & Future Planning, Korea. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21415	The authors have declared that no competing interests exist. 	"Supported by a Stanford Interdisciplinary Graduate Fellowship to KL, Stanford UAR grant to ML and grants NIH-NS 034950 and NSF IOS-0923588 to RDF. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21429	This study was funded by Biocomposites. This does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"The funder provided support in the form of salaries for authors SSA and JJC, but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions' section."
PONE-D-15-21438	The authors have declared that no competing interests exist.	"This work was funded by the Shriners Hospitals for Children, https://www.shrinershospitalsforchildren.org/locations/boston. SB is a receipt of a Deutsche Forschungs Gemeinschaft (DFG, Germany) postdoctoral fellowship award (GZ:BO3468/2-1), http://www.dfg.de/en/."
PONE-D-15-21468	The authors have declared that no competing interests exist.	"This work was supported by a National Health and Medical Research Council Project grant awarded to CTR and PHA (GNT1020754). CTR is supported by a NHMRC Senior Research Fellowship (GNT1020749). PHA is supported by a NHMRC Career Development Fellowship (GNT1034698). JD was the recipient of a Cook Medical Adelaide Fellowship awarded through the Robinson Research Institute. RLW and SB are both supported by Australian Postgraduate Awards. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21545	The authors have declared that no competing interests exist.	"Funding was provided by Veterans Affairs Merit Grant I01 BX000901 (VTS), http://www.research.va.gov; and US Public Health Service Grants R24 DK-085638 (VTS), T32 DK-007058 (DFV), and P30 DK-079310 (VTS), https://grants.nih.gov. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21565	The authors have declared that no competing interests exist.	"The work was supported by the following: National Eye Institute EY02048 and EY10699, https://www.nei.nih.gov; and Knights Templar Eye Foundation, http://www.knightstemplar.org/ktef/. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21567	The authors have declared that no competing interests exist.	"This project was supported by the Netherlands Organization for scientific research (VIDI, 917.11.304; T.L.)."
PONE-D-15-21568	The authors have declared that no competing interests exist.	"This work was supported by the intramural research program of the NIAID, National Institutes of Health, the Brazilian National Council for Scientific and Technological Development (CNPq) for WJ, RQM and DMM, The State of Rio de Janeiro Research Foundation (FAPERJ) for RQM and DM, the Grant Agency of the Czech Republic (GACR grant P502/12/2409 to MK) and by the Academy of Sciences of the Czech Republic (Jan Evangelista Purkyne Fellowship and Intramural support to MK)."
PONE-D-15-21572	The authors confirm that their commercial affiliation does not alter the authors' adherence to all PLOS ONE policies on sharing data and materials.	"The funder and the commercial affiliation only provided support in the form of salaries for authors [SPD BP BK MFK], but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section."
PONE-D-15-21573	The authors have declared that no competing interests exist.	"This research was supported by Basic Science Research Program through the National Research Foundation of Korea (NRF, http://ernd.nrf.re.kr/index) funded by the Ministry of Science, ICT & Future Planning (Grant# 2015R1D1A1A01060923). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript. "
PONE-D-15-21603	The authors have read the journal's policy and the authors of this manuscript have the following competing interests: RYT and QTN are consultants for Avelas Biosciences.  The authors confirm here that this does not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	"This study was supported in part by National Institutes of Health (NIH)/National Cancer Institute grant 5R01CA158448, www.cancer.gov, (RYT); NIH in vivo cellular and molecular imaging centers (ICMIC) P50-CA128346, http://imaging.cancer.gov/programsandresources/specializedinitiatives/icmicp50 (RFM, RYT); NIH 5T32EB005970-07 (ESO, RFM, CDM); Radiological Society of North America (RSNA) RR1361, http://www.rsna.org/research_resident_grant.aspx (CDM); Howard Hughes Medical Institute, http://www.hhmi.org (TJ, RYT); Burroughs Wellcome Fund – CAMS, http://www.bwfund.org/grant-programs/biomedical-sciences/career-awards-medical-scientists, (QTN)."
PONE-D-15-21615	The authors have declared that no competing interests exist.	"This research was supported by National Natural Science Foundation of China (No. 61301007 and 61471139) and Fundamental Research Funds for the Central Universities (HEUCFT1302, HEUCFX41303). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21622	The authors have declared that no competing interests exist.	"Supported by Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq), Fundação Carlos Chaga Filho de Amparo a Pesquisa do Estado do Rio de Janeiro (FAPERJ), Pró-reitoria de Pesquisa e Pós-graduação – Universidade Federal Fluminense (UFF), Brazil to RCCK. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21624	The authors have read the journal's policy and have the following competing interests: PK is an employee of Bayer Healthcare and is involved in Bayer's development of non-steroidal mineralocorticoid receptor antagonists for clinical use. This did not alter the authors' adherence to PLOS ONE policies on sharing data and materials.	GHT received funding from Bayer Healthcare to perform the study. PK is an employee of Bayer Healthcare and played a role in study design and manuscript preparation.
PONE-D-15-21628	The authors have declared that no competing interests exist.	"This study was supported by the American Asthma Foundation, grant 11-0360 http://www.americanasthmafoundation.org; Clayton Foundation for Research, Corr2012, http://www.claytonbiotech.com; Cancer Center Support Grant P30 CA16672-38. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21639	The authors have declared that no competing interests exist.	"This work was supported by the European Commission under the 7th Framework Programme in the theme of the Future and Emerging Technologies (FET, OCTOPUS IP, FP7-ICT 2007.8.5, FET) [231608] - www.octopus.eu<http://www.octopus.eu>; and STIFFness controllable Flexible and Learn-able manipulator for surgical Operations [STIFF-FLOP] FP7-ICT-2011-7 Project Number 287728 (http://www.stiff-flop.eu/en/). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21645	The authors have declared that no competing interests exist.	"This work was supported by a grant from the Ministry of Education, Culture, Sports, Science and Technology (to M.E.) and by a Grant-in-Aid for Japan Society for the Promotion of Science (JSPS) Fellows (to Y.Y.)."
PONE-D-15-21649	The authors have declared that no competing interests exist.	"This research was supported by grants from the National Natural Science Foundation of China (Nos. 31402037 and 31171200), the Anhui Provincial Natural Science Foundation (Nos. 1408085QC55 and 1508085QC52), and the Project of Anhui Province Scientific Technology Plan (No. 1301031032). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."
PONE-D-15-21657	The authors have declared that no competing interests exist.	The authors received no specific funding for this work.
